Daten;Stationen;Meßpunkt;Messwert;Messung;Messeinheit
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.047;m/s
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);645.535;W/m^2
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);223.422;°
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.433;hPa
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.703;V
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.186;A
02-09-2025 12:34:20;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.546;V
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.9;m/s
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.287;m/s
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);560.441;W/m^2
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);220.506;°
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);17.8;V
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.152;A
02-09-2025 12:29:20;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.499;V
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);16;23;
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.594;°C
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.8;m/s
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);66.787;%
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.929;°C
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.889;°C
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);0.913;m/s
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);702.699;W/m^2
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);219.217;°
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.646;hPa
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.373;V
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.179;A
02-09-2025 12:24:19;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.531;V
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);67.13;%
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.437;°C
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.478;°C
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.3;m/s
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);492.304;W/m^2
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);220.829;°
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);22.07;V
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.217;A
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.574;V
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.213;°C
02-09-2025 12:19:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.2;m/s
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);16;22;
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.26;°C
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.7;m/s
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);67.536;%
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.399;°C
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.491;°C
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);0.88;m/s
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);244.387;W/m^2
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);218.2;°
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.726;hPa
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);15.859;V
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.302;A
02-09-2025 12:14:19;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);14.167;V
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.265;°C
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.2;m/s
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);67.668;%
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.36;°C
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.472;°C
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.09;m/s
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);222.749;W/m^2
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);217.882;°
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);15.761;V
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.261;A
02-09-2025 12:09:18;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.504;V
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);20.557;V
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Power (20);Strom (3);-0.047;A
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.036;V
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);16;21;
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);11.991;°C
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.4;m/s
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);66.279;%
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.389;°C
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.33;°C
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.267;m/s
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);202.032;W/m^2
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);217.795;°
02-09-2025 12:04:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.873;hPa
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.046;°C
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);3.1;m/s
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);65.615;%
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.633;°C
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.473;°C
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.54;m/s
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);221.828;W/m^2
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);217.025;°
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);20.723;V
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Power (20);Strom (3);-0.049;A
02-09-2025 11:59:18;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.071;V
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);16;22;
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.6;m/s
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.753;°C
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.37;m/s
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);260.808;W/m^2
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);211.373;°
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.791;hPa
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);20.668;V
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Power (20);Strom (3);-0.049;A
02-09-2025 11:54:18;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.121;V
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.202;°C
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.4;m/s
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);66.854;%
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.493;°C
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.496;°C
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);0.677;m/s
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);382.349;W/m^2
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);198.643;°
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);21.385;V
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Power (20);Strom (3);-0.048;A
02-09-2025 11:49:17;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.19;V
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.782;°C
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);1.6;m/s
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);71.535;%
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.024;°C
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.624;°C
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);0.74;m/s
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);271.32;W/m^2
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);223.815;°
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);20.417;V
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.207;A
02-09-2025 11:39:20;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.575;V
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);16;22;
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.7;m/s
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.326;m/s
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);188.45;W/m^2
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);227.083;°
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.767;hPa
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);18.009;V
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.194;A
02-09-2025 11:34:20;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.542;V
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);217.225;W/m^2
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Wind (3);230.337;°
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);19.066;V
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.193;A
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Taupunkt (15);12.595;°C
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.578;V
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.9;m/s
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Luftfeuchtigkeit (10);69.752;%
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Lufttemperatur (9);18.227;°C
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Bulbo umido (40);14.6;°C
02-09-2025 11:29:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.233;m/s
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Atmosphärischer Druck (2);996.804;hPa
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Power (20);Solarzelle (4);19.819;V
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Power (20);Strom (3);0.184;A
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Power (20);Batterie 12V (2);13.559;V
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);16;22;
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windböen (14);2.1;m/s
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Regen (11);0;mm
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Windgeschwindigkeit (8);1.163;m/s
02-09-2025 11:24:19;Weincampus Neustadt 1 (1423);Hauptstation (17);Sonnenstrahlung (7);267.867;W/m^2
